round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
73,3.2863,0.2224,3.2890,0.2164,3.2211,0.2181
74,3.3209,0.2140,3.2894,0.2164,3.2359,0.2206
75,3.3044,0.2136,3.2897,0.2207,3.2135,0.2226
76,3.2847,0.2226,3.2480,0.2236,3.1971,0.2231
77,3.2663,0.2182,3.2402,0.2268,3.1868,0.2238
78,3.2719,0.2266,3.2583,0.2266,3.1803,0.2277
79,3.2683,0.2144,3.2284,0.2278,3.1676,0.2260
80,3.2578,0.2192,3.2482,0.2248,3.1606,0.2307
81,3.2532,0.2260,3.2341,0.2333,3.1619,0.2329
82,3.2135,0.2220,3.1935,0.2366,3.1247,0.2373
83,3.2465,0.2302,3.2111,0.2352,3.1446,0.2350
84,3.2018,0.2380,3.1811,0.2368,3.1144,0.2398
85,3.2350,0.2284,3.1751,0.2382,3.1069,0.2432
86,3.2436,0.2278,3.1809,0.2380,3.1313,0.2395
87,3.1952,0.2340,3.1976,0.2344,3.0938,0.2444
88,3.2086,0.2312,3.1739,0.2413,3.0984,0.2415
89,3.1965,0.2284,3.1698,0.2420,3.0769,0.2480
90,3.1816,0.2366,3.1590,0.2420,3.0611,0.2493
91,3.1855,0.2460,3.1555,0.2420,3.0673,0.2475
92,3.1675,0.2390,3.1511,0.2417,3.0489,0.2527
93,3.1653,0.2426,3.1666,0.2389,3.0417,0.2533
94,3.1657,0.2476,3.1763,0.2471,3.0461,0.2550
95,3.1625,0.2340,3.1514,0.2466,3.0420,0.2536
96,3.1508,0.2372,3.1298,0.2453,3.0271,0.2567
97,3.1796,0.2460,3.1548,0.2446,3.0253,0.2569
98,3.1452,0.2472,3.1460,0.2497,3.0145,0.2578
99,3.1590,0.2454,3.1026,0.2566,3.0052,0.2632
100,3.1561,0.2484,3.1329,0.2505,3.0067,0.2662
101,3.1235,0.2518,3.0923,0.2517,2.9879,0.2637
102,3.1026,0.2570,3.1046,0.2557,2.9911,0.2635
103,3.1285,0.2474,3.1100,0.2505,2.9807,0.2619
104,3.1226,0.2520,3.0886,0.2608,2.9848,0.2663
